Rank,Name,Platform,Year,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
275,Mario Golf,Series,1991,Nintendo  ,Nintendo|Camelot Software Planning  ,,,,,,,
276,Mario Kart 64,N64,1997,Nintendo  ,Nintendo EAD  ,8.5,,5.55,1.94,2.23,0.15,9.87
277,Dead or Alive,Series,1998,Tecmo  ,Team Ninja  ,,,,,,,
278,Super Smash Bros. for 3DS,3DS,2014,Nintendo  ,Bandai Namco Games  ,8.4,,3.73,1.5,2.55,0.54,8.32
279,Carnival Games,Series,2007,Global Star Software  ,Cat Daddy Games  ,,,,,,,
280,Big Brain Academy,Series,N/A,Unknown  ,Nintendo  ,,,,,,,
281,Call of Duty 4: Modern Warfare,X360,2007,Activision  ,Infinity Ward  ,9.6,9.0,5.98,2.39,0.13,0.91,9.41
282,Gran Turismo 2,PS,1999,Sony Computer Entertainment  ,Polyphony Digital  ,9.2,,3.88,3.42,1.69,0.5,9.49
283,Wii Party,Wii,2010,Nintendo  ,"Nd Cube Co., Ltd.  ",7.0,,1.75,3.51,2.49,0.66,8.41
284,Call of Duty: Black Ops IIII,PS4,2018,Activision  ,Treyarch  ,,,4.05,3.28,0.5,1.49,9.32
285,Mario Party DS,DS,2007,Nintendo  ,Hudson Soft  ,7.1,,4.4,1.86,1.98,0.69,8.93
286,Donkey Kong Country,SNES,1994,Nintendo  ,Rare Ltd.  ,9.0,,4.36,1.71,3.0,0.23,9.3
287,Half-Life,PC,1998,Sierra Entertainment  ,Valve Software  ,9.5,,4.03,0.0,0.09,,4.12
288,Marvel vs. Capcom,Series,1996,Capcom  ,Capcom|Iron Galaxy|Eighting  ,,,,,,,
289,Uncharted 3: Drake's Deception,PS3,2011,Sony Computer Entertainment  ,Naughty Dog  ,9.3,6.3,2.77,2.81,0.19,1.06,6.84
290,FIFA 19,PS4,2018,Electronic Arts  ,EA Sports  ,,,0.84,6.87,0.1,1.34,9.15
291,Rust,PC,2018,Facepunch Studios  ,Facepunch Studios  ,6.1,,,,,,
292,Payday,Series,2011,Daybreak Games  ,Overkill Software  ,,,,,,,
293,Silent Hill,Series,1999,Konami  ,Konami Computer Entertainment Tokyo|Creature Labs|Climax Studios|Double Helix Games|Vatra Games|WayForward Technologies|Kojima Productions  ,,,,,,,
294,The Experience,Series,2010,Ubisoft  ,Ubisoft|iNiS|Land Ho!  ,,,,,,,
295,The Elder Scrolls V: Skyrim,X360,2011,Bethesda Softworks  ,Bethesda Game Studios  ,9.3,,5.1,2.83,0.1,0.85,8.88
296,Mario Party 8,Wii,2007,Nintendo  ,Hudson Soft  ,6.5,,3.74,2.27,1.58,0.7,8.3
297,Pokémon: Ultra Sun and Ultra Moon,3DS,2017,Nintendo  ,Game Freak  ,8.1,,2.46,1.74,2.55,0.4,7.15
298,Super Mario Kart,SNES,1992,Nintendo  ,Nintendo EAD  ,10.0,,3.54,1.24,3.81,0.18,8.76
299,Grand Theft Auto V,XOne,2014,Rockstar Games  ,Rockstar North  ,9.0,9.0,4.7,3.25,0.01,0.76,8.72
300,Final Fantasy VIII,PS,1999,Square EA  ,SquareSoft  ,9.4,,2.28,1.72,3.63,0.23,7.86
301,Final Fantasy X,PS2,2001,Square  ,SquareSoft  ,9.0,10.0,2.91,2.07,2.73,0.33,8.05
302,Pokémon Black 2 and White 2,DS,2012,Nintendo  ,Game Freak  ,8.0,8.3,2.79,1.79,3.16,0.43,8.16
303,Call of Duty: Infinite Warfare,PS4,2016,Activision  ,Infinity Ward  ,,,3.11,3.83,0.19,1.36,8.48
304,Fallout 4,PS4,2015,Bethesda Softworks  ,Bethesda Game Studios  ,8.6,,2.91,3.97,0.27,1.34,8.48
305,Mario Kart 8,WiiU,2014,Nintendo  ,Nintendo  ,8.8,,3.22,2.55,1.39,0.54,7.69
306,Onimusha,Series,2001,Capcom  ,Capcom  ,,,,,,,
307,Tekken 3,PS,1998,Namco  ,Namco  ,9.6,,3.27,2.22,1.4,0.29,7.16
308,FIFA 16,PS4,2015,EA Sports  ,EA Canada  ,8.5,,1.15,5.77,0.07,1.23,8.22
309,The Last of Us,PS3,2013,Sony Computer Entertainment America  ,Naughty Dog  ,9.5,,2.41,2.57,0.29,0.99,6.27
310,GoldenEye 007,N64,1997,Nintendo  ,Rare Ltd.  ,9.8,,5.8,2.01,0.13,0.15,8.09
311,Star Wars Battlefront (2015),PS4,2015,Electronic Arts  ,EA DICE  ,7.1,,3.31,3.19,0.23,1.3,8.03
