Rank,Name,Platform,Year,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
3257,Army Men: Sarge's Heroes,N64,1999,3DO  ,3DO  ,4.2,,0.68,0.12,,0.01,0.81
3258,Empire: Total War,PC,2009,Sega  ,The Creative Assembly  ,8.9,,0.01,0.98,,0.09,1.07
3259,Football Manager 2015,PC,2014,Sega  ,Sports Interactive  ,,,,0.44,,0.03,0.47
3260,Mega Man,NES,1987,Capcom  ,Capcom  ,,,0.45,0.08,0.27,0.01,0.81
3261,Resident Evil 2: Dual Shock Edition,PS,1998,Capcom  ,Capcom  ,9.0,,,,0.26,0.02,0.27
3262,Pro Evolution Soccer 2010,X360,2009,Konami  ,Konami  ,7.0,,0.12,0.58,0.03,0.08,0.81
3263,Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS4,2015,Square Enix  ,Square Enix  ,,,0.21,0.14,0.39,0.07,0.81
3264,LEGO Dimensions,PS3,2015,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,,,0.26,0.41,,0.13,0.81
3265,Tom Clancy's Rainbow Six 3,PS2,2004,Ubisoft  ,Ubisoft Montreal / Red Storm Entertainment  ,,,0.4,0.31,,0.1,0.81
3266,Disney's The Little Mermaid: Ariel's Undersea Adventure,DS,2006,Buena Vista  ,Gorilla Systems  ,,,0.72,0.03,,0.06,0.81
3267,Battle of Giants: Dinosaurs,DS,2008,Ubisoft  ,Ubisoft Quebec  ,,,0.37,0.35,,0.08,0.81
3268,SingStar Vol. 2,PS3,2008,Sony Computer Entertainment  ,SCEE London Studio  ,,,0.29,0.39,,0.12,0.81
3269,NCAA Football 10,PS3,2009,EA Sports  ,EA Tiburon  ,8.1,,0.75,,,0.06,0.81
3270,Professor Layton and the Azran Legacy,3DS,2014,Nintendo  ,Level 5  ,8.0,,,0.53,0.25,0.03,0.81
3271,EarthBound,SNES,1995,Nintendo  ,Ape Studios / HAL Laboratory  ,,,,,0.81,,0.81
3272,Need for Speed Rivals,X360,2013,Electronic Arts  ,Ghost Games  ,,,0.38,0.35,0.01,0.07,0.81
3273,The Next Tetris,PS,1999,Atari  ,Blue Planet Software  ,,,0.45,0.31,,0.05,0.81
3274,Guitar Hero: Warriors of Rock,PS3,2010,Activision  ,Neversoft Entertainment  ,,,0.33,0.35,,0.13,0.81
3275,World Soccer Jikkyou Winning Eleven 3: World Cup France '98,PS,1998,Konami  ,Konami  ,,,,,0.75,0.05,0.81
3276,Poly Bridge,PC,N/A,Unknown  ,Dry Cactus Limited  ,,,,,,,
3277,Final Fantasy XI: Wings of the Goddess,PS2,2007,Square Enix  ,Square Enix  ,,,0.35,0.27,0.09,0.09,0.81
3278,The Sims 2,PS2,2005,Electronic Arts  ,Maxis  ,,,0.67,0.03,,0.11,0.81
3279,Golden Sun: Dark Dawn,DS,2010,Nintendo  ,Camelot Software Planning  ,8.0,,0.53,0.1,0.13,0.05,0.81
3280,Who Wants to be a Millionaire,PS,2000,Eidos Interactive  ,Hothouse Creations  ,,,0.45,0.3,,0.05,0.8
3281,BeamNG.drive,PC,N/A,Unknown  ,BeamNG  ,,,,,,,
3282,Ben 10: Alien Force,Wii,2008,D3 Publisher  ,Monkey Bar Games  ,,,0.52,0.21,,0.07,0.8
3283,Star Wars Rogue Squadron III: Rebel Strike,GC,2003,LucasArts  ,Factor 5  ,8.3,,0.62,0.16,,0.02,0.8
3284,Moto Racer,PS,1997,Electronic Arts  ,Delphine Software International  ,,,0.45,0.3,,0.05,0.8
3285,Hitman: Contracts,PS2,2004,Eidos Interactive  ,IO Interactive  ,,,0.39,0.31,,0.1,0.8
3286,The 7th Guest,PC,1993,Virgin Interactive  ,Trilobyte  ,,,0.03,0.77,,,0.8
3287,Deca Sports 2,Wii,2009,Hudson Soft  ,Hudson Soft  ,,,0.31,0.34,0.09,0.07,0.8
3288,Final Fantasy Anthology,PS,1999,Square EA  ,SquareSoft  ,8.6,,0.45,0.3,,0.05,0.8
3289,DiRT 2,X360,2009,Codemasters  ,Codemasters  ,8.8,,0.32,0.39,0.0,0.09,0.8
3290,Star Wars The Clone Wars: Republic Heroes,Wii,2009,LucasArts  ,Krome Studios  ,4.8,,0.43,0.3,,0.07,0.8
3291,The Sims 2: Pets,PSP,2006,Electronic Arts  ,Maxis  ,5.8,,0.19,0.39,,0.22,0.8
3292,Battlefield 2: Special Forces,PC,2005,Electronic Arts  ,Digital Illusions  ,,,,,,,
3293,Half-Life: Blue Shift,PC,2001,Sierra Entertainment  ,Gearbox Software  ,6.7,,,,,,
3294,Tom Clancy's Ghost Recon Advanced Warfighter,X360,2006,Ubisoft  ,Ubisoft Paris  ,9.1,,1.4,0.02,0.02,0.1,1.54
3295,Zumba Fitness,Wii,2010,Majesco  ,"Pipeworks Software, Inc.  ",,,3.47,2.62,,0.67,6.76
3296,Pro Evolution Soccer 2010,PSP,2009,Konami  ,Konami  ,,,0.09,0.33,0.2,0.18,0.8
3297,Prince of Persia: Warrior Within,XB,2004,Ubisoft  ,Ubisoft Montreal  ,,,0.48,0.28,,0.04,0.8
3298,Mario & Sonic at the Sochi 2014 Olympic Winter Games,WiiU,2013,Nintendo  ,Sega Sports R&D  ,5.9,,0.37,0.23,0.14,0.06,0.8
3299,Rhythm Heaven Megamix,3DS,2016,Nintendo  ,Nintendo  ,8.8,,,0.06,0.73,0.0,0.8
3300,Guitar Hero: Metallica,X360,2009,Activision  ,Neversoft Entertainment  ,8.5,,0.52,0.2,,0.07,0.8
3301,Hasbro Family Game Night 3,Wii,2010,Electronic Arts  ,EA Bright Light  ,,,0.46,0.27,,0.07,0.8
3302,The Amazing Spider-Man (2012),PS3,2012,Activision  ,Beenox  ,7.3,,0.31,0.36,,0.12,0.8
3303,Super Robot Taisen α,PS,2000,Banpresto  ,Banpresto  ,,,,,0.75,0.05,0.8
3304,WWE 2K15,PS3,2014,2K Sports  ,Visual Concepts  ,,,0.37,0.29,,0.13,0.8
3305,Need for Speed: Hot Pursuit 2,GC,2002,Electronic Arts  ,EA Seattle  ,7.5,,0.68,0.09,,0.02,0.8
3306,PES 2009: Pro Evolution Soccer,PSP,2008,Konami  ,Konami  ,7.3,,0.04,0.33,0.26,0.17,0.8
3307,Farming Simulator 17,PC,2016,Focus Home Interactive  ,Giants Software  ,,,0.11,0.94,,0.07,1.12
3308,Tales of Destiny 2,PS2,2002,Namco  ,Telenet Japan / Wolteam  ,,,,,0.8,,0.8
3309,Capcom's Soccer Shootout,SNES,1994,Capcom  ,Capcom  ,,,,,0.8,,0.8
3310,Deadlight,PC,2012,Microsoft Studios  ,Tequila Works  ,,,,,,,
3311,Rayman Raving Rabbids 2,DS,2007,Ubisoft  ,Ubisoft Paris  ,,,0.73,0.01,,0.06,0.8
3312,Alien,2600,1982,20th Century Fox Video Games  ,20th Century Fox Video Games  ,,,0.74,0.04,,0.01,0.79
3313,Dragon's Dogma,X360,2012,Capcom  ,Capcom  ,,,0.42,0.24,0.07,0.06,0.79
3314,Invizimals,PSP,2010,Sony Computer Entertainment  ,Novarama  ,6.6,,0.17,0.51,,0.11,0.79
3315,Guitar Hero: Aerosmith,PS2,2008,Activision  ,BudCat Creations  ,,,0.61,0.0,,0.18,0.79
3316,Assassin's Creed The Ezio Collection,PS4,2016,Ubisoft  ,Ubisoft  ,,,0.14,0.52,0.02,0.12,0.79
3317,Pro Evolution Soccer 2011,PSP,2010,Konami  ,Konami  ,,,0.05,0.3,0.29,0.16,0.79
3318,The Sims 2: Castaway,PSP,2007,Electronic Arts  ,Maxis  ,,,0.08,0.46,,0.25,0.79
3319,Ridge Racer,PS,1995,Namco  ,Namco  ,9.0,,,,0.74,0.05,0.79
3320,All Star Cheer Squad,Wii,2008,THQ  ,Gorilla Systems  ,,,0.43,0.29,,0.08,0.79
3321,Dead Island: Riptide,X360,2013,Deep Silver  ,Techland  ,5.6,,0.44,0.27,0.01,0.07,0.79
3322,Harvest Moon: A Wonderful Life,GC,2004,Natsume  ,Marvelous Interactive  ,8.2,,0.61,0.16,,0.02,0.79
3323,Momotarou Dentetsu 7,PS,1997,Hudson Entertainment  ,Hudson Soft  ,,,,,0.74,0.05,0.79
3324,Ace Combat Zero: The Belkan War,PS2,2006,Namco  ,Namco  ,7.5,,0.15,0.12,0.2,0.04,0.51
3325,Darksiders II,X360,2012,THQ  ,Vigil Games  ,8.6,,0.45,0.27,0.0,0.07,0.79
3326,Motocross Mania,PS,2001,Take-Two Interactive  ,Deibus Studios  ,,,0.44,0.3,,0.05,0.79
3327,Prototype 2,X360,2012,Activision  ,Radical Entertainment  ,,,0.48,0.24,,0.06,0.79
3328,NBA 2K16,PS3,2015,2K Sports  ,Visual Concepts  ,,,0.49,0.12,0.05,0.13,0.79
3329,Band Hero,X360,2009,Activision  ,Neversoft Entertainment  ,7.6,,0.51,0.21,,0.07,0.79
3330,Football Manager 2014,PC,2013,Sega  ,Sports Interactive  ,8.4,,,0.62,,0.04,0.66
3331,Mega Man 5,NES,1992,Capcom  ,Capcom  ,,,0.39,0.07,0.32,0.01,0.79
3332,WCW Mayhem,N64,1999,Electronic Arts  ,Kodiak Interactive  ,,,0.63,0.15,,0.01,0.79
3333,Dragon Quest Monsters 2,3DS,2014,Square Enix  ,TOSE Software  ,,,,,0.79,,0.79
3334,Dance Dance Revolution SuperNOVA 2,PS2,2007,Konami  ,Konami Computer Entertainment Tokyo  ,,,0.64,0.03,0.02,0.1,0.79
3335,Armored Core 2,PS2,2000,Agetec  ,From Software  ,,,0.28,0.22,0.23,0.07,0.79
3336,The Godfather II,X360,2009,Electronic Arts  ,EA Redwood Shores  ,6.2,,0.47,0.23,0.01,0.08,0.79
3337,Nidhogg,PC,2014,Messhof  ,Messhof  ,,,,,,,
3338,Major League Baseball Featuring Ken Griffey Jr,N64,1998,Nintendo  ,Angel Studios  ,,,0.75,0.03,,0.01,0.79
3339,Northgard,PC,N/A,Unknown  ,Shiro Games  ,,,,,,,
3340,NCAA Football 08,PS2,2007,Electronic Arts  ,EA Tiburon  ,,,0.65,0.03,,0.11,0.79
3341,Star Ocean: The Last Hope,X360,2009,Square Enix  ,tri-Ace  ,7.3,8.0,0.32,0.2,0.21,0.06,0.79
3342,FIFA Soccer 2004,XB,2003,EA Sports  ,EA Canada  ,,,0.24,0.49,,0.05,0.79
3343,Final Fantasy XIV: A Realm Reborn,PS4,2014,Square Enix  ,Square Enix  ,,,0.35,0.23,0.08,0.12,0.79
3344,Red Faction: Armageddon,PC,2011,THQ  ,Volition Inc.  ,7.3,,0.05,0.02,,0.01,0.09
3345,MadWorld,Wii,2009,Sega  ,PlatinumGames  ,8.1,8.1,0.45,0.24,0.02,0.07,0.78
3346,Tiger Woods PGA Tour 10,PS3,2009,EA Sports  ,EA Tiburon  ,8.4,,0.42,0.25,,0.11,0.78
3347,Destiny: The Collection,PS4,2016,Activision  ,Bungie  ,,,0.24,0.4,0.02,0.12,0.78
3348,Shadow of the Tomb Raider,XOne,2018,Square Enix  ,Eidos Montreal  ,,,0.46,0.25,,0.07,0.78
3349,Too Human,X360,2008,Microsoft Game Studios  ,Silicon Knights  ,6.5,,0.38,0.3,0.03,0.08,0.78
3350,Fight Night Champion,X360,2011,EA Sports  ,EA Canada  ,8.4,,0.4,0.31,,0.07,0.78
3351,DJ Hero 2,PS3,2010,Activision  ,FreeStyle Games  ,8.4,,0.49,0.19,,0.1,0.78
3352,Yars' Revenge,2600,1982,Atari  ,Atari  ,,,0.73,0.04,,0.01,0.78
3353,Aliens: Colonial Marines,X360,2013,Sega  ,Gearbox Software  ,,,0.36,0.35,,0.07,0.78
3354,Personal Trainer: Walking,DS,2009,Nintendo  ,Creatures Inc.  ,,,0.22,0.32,0.17,0.07,0.78
3355,LEGO Jurassic World,XOne,2015,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,,,0.44,0.27,,0.07,0.78
3356,Secret Agent Barbie: Royal Jewels Mission,GBA,2002,VU Games  ,Digital Illusions  ,,,0.56,0.21,,0.01,0.78
3357,The World Ends With You,DS,2008,Square Enix  ,Square Enix  ,8.6,,0.49,0.04,0.21,0.04,0.78
3358,Star Wars: The Force Unleashed II,Wii,2010,LucasArts  ,LucasArts  ,7.5,,0.53,0.19,,0.06,0.78
3359,Doom,PS,1995,GT Interactive  ,Williams Entertainment Inc.  ,,,0.43,0.3,,0.05,0.78
3360,Naruto Shippuden: Ultimate Ninja Storm 2,X360,2010,Namco Bandai  ,CyberConnect2  ,7.6,,0.43,0.27,0.01,0.07,0.78
3361,Buzz! The Hollywood Quiz,PS2,2008,Sony Computer Entertainment  ,Relentless Software  ,,,0.17,0.0,,0.61,0.78
3362,Tom Clancy's Splinter Cell: Double Agent,X360,2006,Ubisoft  ,Ubisoft Shanghai  ,8.5,8.3,0.67,0.04,0.01,0.06,0.78
3363,DJ Hero,Wii,2009,Activision  ,FreeStyleGames  ,8.6,,0.47,0.23,,0.08,0.78
3364,Sid Meier's Civilization Revolution,PS3,2008,2K Games  ,Firaxis Games  ,8.4,,0.49,0.19,0.01,0.09,0.78
3365,New Super Mario Bros. 2,3DS,N/A,Unknown  ,Nintendo EAD  ,,,,,0.78,,0.78
3366,Star Wars The Clone Wars: Jedi Alliance,DS,2008,LucasArts  ,Krome Studios  ,,,0.61,0.11,,0.06,0.78
3367,Marvel vs. Capcom: Clash of Super Heroes,PS,2000,Capcom  ,Capcom  ,,,0.43,0.3,,0.05,0.78
3368,Drawn to Life,DS,2007,THQ  ,5TH Cell  ,,,0.71,0.01,,0.06,0.78
3369,Battle Stations,PS,1997,Electronic Arts  ,Realtime Associates  ,,,0.43,0.29,,0.05,0.78
3370,Rayman Origins,X360,2011,Ubisoft  ,Ubisoft  ,9.0,,0.38,0.32,,0.08,0.78
3371,Goldeneye 007: Reloaded,PS3,2011,Activision  ,Eurocom  ,7.4,,0.33,0.33,,0.12,0.78
3372,F1 2016,PS4,2017,Codemasters  ,Codemasters  ,,,0.07,0.56,0.03,0.11,0.78
3373,Rare Replay,XOne,2015,Microsoft Studios  ,Rare Ltd.  ,,,0.42,0.27,0.01,0.07,0.78
3374,Need for Speed: ProStreet,PSP,2008,Electronic Arts  ,EA Black Box  ,5.6,,0.24,0.33,0.01,0.19,0.78
3375,NBA 2K7,PS2,2006,2K Sports  ,Visual Concepts  ,8.2,,0.65,0.02,,0.11,0.78
3376,Torneko no Daibouken: Fushigi no Dungeon,SNES,1993,ChunSoft  ,ChunSoft  ,,,,,0.78,,0.78
3377,Jr. Pac-Man,2600,1984,Atari  ,General Entertainment  ,,,0.72,0.05,,0.01,0.78
3378,James Bond 007: Nightfire,GC,2002,Electronic Arts  ,Eurocom Entertainment Software  ,8.1,,0.6,0.16,,0.02,0.78
3379,Mass Effect: Andromeda,XOne,2017,Electronic Arts  ,BioWare Corp.  ,,,0.5,0.2,,0.07,0.78
3380,Hitman,PS4,2017,Square Enix  ,IO Interactive  ,,,0.24,0.36,0.06,0.11,0.78
3381,Dragon Age: Inquisition,PC,2014,Electronic Arts  ,BioWare Edmonton  ,,,0.38,0.33,,0.07,0.78
3382,NBA ShootOut 98,PS,1998,Sony Computer Entertainment  ,Sony Interactive Studios America  ,,,0.43,0.29,,0.05,0.78
3383,ABBA: You Can Dance,Wii,2011,Ubisoft  ,Ubisoft  ,,,0.18,0.5,,0.1,0.77
3384,Prototype 2,PS3,2012,Activision  ,Radical Entertainment  ,,,0.38,0.28,,0.11,0.77
3385,Galaxian,2600,1983,Atari  ,Atari  ,,,0.72,0.05,,0.01,0.77
3386,Worms: Open Warfare,PSP,2006,THQ  ,Team17 Software  ,6.9,,0.11,0.43,,0.23,0.77
3387,Minecraft: Story Mode,XOne,2015,Mojang  ,Telltale Games  ,,,0.46,0.24,,0.07,0.77
3388,Puzzler World,DS,2009,Atari  ,Idea Pad  ,,,0.41,0.3,,0.07,0.77
3389,Lips,X360,2008,Microsoft Game Studios  ,iNiS  ,7.1,,0.12,0.56,,0.1,0.77
3390,Andretti Racing,PS,1996,EA Sports  ,Stormfront Studios  ,7.3,,0.43,0.29,,0.05,0.77
3391,Caesars Palace 2000: Millennium Gold Edition,PS,2000,Interplay  ,Runecraft  ,,,0.43,0.29,,0.05,0.77
3392,UFC Personal Trainer: The Ultimate Fitness System,X360,2011,THQ  ,THQ  ,6.0,,0.53,0.18,,0.06,0.77
3393,Air Raid,2600,1982,Men-A-Vision  ,Men-A-Vision  ,,,0.72,0.04,,0.01,0.77
3394,Perfect Dark Zero,X360,2005,Microsoft Game Studios  ,Rare Ltd.  ,8.1,8.9,0.66,0.02,0.03,0.06,0.77
3395,Marvel Nemesis: Rise of the Imperfects,PS2,2005,Electronic Arts  ,Nihilistic Software  ,,,0.64,0.02,,0.1,0.77
3396,Boxing,2600,1980,Activision  ,Activision  ,,,0.72,0.04,,0.01,0.77
3397,Resident Evil: Operation Raccoon City,X360,2012,Capcom  ,Slant Six Games  ,,,0.55,0.14,0.03,0.06,0.77
3398,Need for Speed: Porsche Unleashed,PS,2000,Electronic Arts  ,Eden Studios  ,,,0.43,0.29,,0.05,0.77
3399,Ghost Squad,Wii,2007,Sega  ,Polygon Magic  ,7.0,,0.42,0.21,0.08,0.07,0.77
3400,Star Wars Battlefront: Elite Squadron,PSP,2009,LucasArts  ,Savage Entertainment  ,6.0,,0.38,0.24,,0.16,0.77
3401,James Cameron's Avatar: The Game,X360,2009,Ubisoft  ,Ubisoft Montreal  ,6.0,,0.34,0.35,,0.08,0.77
3402,Ultimate Chicken Horse,PC,N/A,Unknown  ,Clever Endeavour Games  ,,,,,,,
3403,Crystal Castles,2600,1984,Atari  ,Atari  ,,,0.72,0.04,,0.01,0.77
3404,Conker's Bad Fur Day,N64,2001,Rare  ,Rare Ltd.  ,9.2,,0.53,0.22,,0.02,0.77
3405,Fortnite,XOne,2017,Gearbox Software  ,Epic Games  ,,,0.6,0.09,,0.08,0.77
3406,Dragon Warrior I&II,GB,2000,Enix  ,TOSE  ,,,,,0.77,,0.77
3407,Star Wars Episode II: Attack of the Clones,GBA,2002,THQ  ,David A. Palmer Productions  ,,,0.55,0.2,,0.01,0.77
3408,The Sims 3,3DS,2011,Electronic Arts  ,The Sims Studio  ,5.6,,0.3,0.38,0.03,0.07,0.77
3409,Twisted Metal: Head On,PSP,2005,Sony Computer Entertainment  ,Incognito Inc.  ,7.5,,0.71,0.0,,0.06,0.77
3410,Tetris Party Deluxe,DS,2010,Majesco  ,"Tetris Online, Inc  ",,,0.28,0.3,0.12,0.07,0.77
3411,Dragon Ball: Raging Blast,PS3,2009,Namco Bandai  ,Spike  ,5.6,,0.37,0.19,0.11,0.1,0.77
3412,Need for Speed: Undercover,PSP,2008,Electronic Arts  ,Piranha Games  ,5.4,,0.23,0.32,0.03,0.19,0.77
3413,Valkyria Chronicles,PC,2014,Sega  ,Sega  ,,,,,,,
3414,Conflict: Desert Storm II - Back to Bagdhad,PS2,2003,Gotham Games  ,Pivotal Games  ,,,0.38,0.29,,0.1,0.77
3415,Maximo: Ghosts to Glory,PS2,2002,Capcom  ,Capcom  ,8.7,,0.38,0.29,,0.1,0.77
3416,Battlefield 1,PC,2016,Electronic Arts  ,EA DICE  ,9.1,,0.3,0.41,,0.06,0.77
3417,Donkey Kong Country 3,GBA,2005,Nintendo  ,Rare Ltd.  ,7.5,,0.45,0.17,0.14,0.01,0.77
3418,All-Star Baseball 2003,PS2,2002,Acclaim Entertainment  ,Acclaim Entertainment  ,,,0.38,0.29,,0.1,0.77
3419,Persona 4 Arena,PS3,2012,Atlus  ,Arc System Works  ,,,0.32,0.12,0.24,0.08,0.77
3420,Unlimited Saga,PS2,2003,Square Enix  ,SquareSoft  ,4.9,,0.1,0.08,0.56,0.03,0.77
3421,Pokémon Dash,DS,2005,Nintendo  ,Ambrella  ,5.3,,0.21,0.14,0.38,0.04,0.77
3422,Sonic & SEGA All-Stars Racing with Banjo-Kazooie,X360,2010,Sega  ,Sumo Digital  ,7.7,,0.37,0.32,,0.07,0.77
3423,My Baby Girl,DS,2008,SouthPeak Interactive  ,Dancing Dots  ,,,0.61,0.09,,0.06,0.76
3424,Lego Marvel Super Heroes,WiiU,2013,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,,,0.31,0.36,0.03,0.06,0.76
3425,FIFA Soccer 12,Wii,2011,EA Sports  ,EA Canada  ,,,0.15,0.51,,0.1,0.76
3426,Cabela's Deer Hunt: 2004 Season,PS2,2003,Activision  ,Sand Grain Studios  ,,,0.37,0.29,,0.1,0.76
3427,Sonic Unleashed,PS2,2008,Sega  ,Sonic Team/Dimps Corporation  ,7.0,,0.37,0.04,,0.36,0.76
3428,Formula 1,PS,1996,Sony Computer Entertainment  ,Bizarre Creations  ,,,0.18,0.12,0.42,0.05,0.76
3429,Age of Wonders 3,PC,2014,Triumph Studios  ,Triumph Studios  ,,,,,,,
3430,Resident Evil: Revelations,PS3,2013,Capcom  ,Capcom  ,7.6,,0.14,0.32,0.22,0.09,0.76
3431,VVVVVV,PC,2010,Terry Cavanagh  ,Terry Cavanagh  ,7.8,,,,,,
3432,Pro Evolution Soccer 2015,PS4,2014,Konami Digital Entertainment  ,PES Productions  ,,,0.09,0.45,0.12,0.1,0.76
3433,Banjo-Kazooie: Nuts & Bolts,X360,2008,Microsoft Game Studios  ,Rare Ltd.  ,8.0,,0.32,0.35,0.0,0.08,0.76
3434,Driv3r,XB,2004,Atari  ,Reflections Interactive  ,,,0.36,0.38,,0.03,0.76
3435,Mercenaries: Playground of Destruction,PS2,2005,LucasArts  ,Pandemic Studios  ,,,0.64,0.02,,0.1,0.76
3436,MTV Celebrity Deathmatch,PS2,2003,Gotham Games  ,Big Ape Productions  ,,,0.37,0.29,,0.1,0.76
3437,Street Fighter Alpha: Warriors' Dreams,PS,1995,Capcom  ,Capcom  ,,,0.17,0.11,0.43,0.05,0.76
3438,Legend of Grimrock,PC,2012,Almost Human  ,Unknown  ,,,,,,,
3439,ISS Pro Evolution,PS,2000,Konami  ,KCET  ,,,,,0.71,0.05,0.76
3440,Ridge Racer,PSP,2005,Namco  ,Namco  ,8.8,,0.36,0.45,0.32,0.27,1.41
3441,Just Dance 2019,NS,2018,Ubisoft  ,Ubisoft Paris  ,,,0.43,0.26,,0.07,0.76
3442,Band Hero,PS3,2009,Activision  ,Neversoft Entertainment  ,7.6,,0.41,0.23,,0.12,0.76
3443,Duke Nukem Forever,PS3,2011,2K Games  ,Gearbox Software  ,4.4,,0.33,0.31,,0.11,0.76
3444,Final Fantasy II,NES,1988,Square  ,Square  ,,,,,0.76,,0.76
3445,Tony Hawk's Pro Skater 2,N64,2001,Activision  ,Edge of Reality  ,8.5,,0.59,0.16,,0.01,0.76
3446,Taiko no Tatsujin: Tatakon de Dodon ga Don,PS2,2002,Namco  ,Namco  ,,,,,0.76,,0.76
3447,Mega Man Battle Network 6: Cybeast Falzar / Gregar,GBA,2006,Capcom  ,Capcom  ,,,0.09,0.03,0.62,0.02,0.76
3448,Toy Story 3: The Video Game,X360,2010,Disney Interactive Studios  ,Avalanche Software  ,7.5,,0.41,0.27,,0.07,0.76
3449,Just Dance 2018,NS,2017,Ubisoft  ,Ubisoft Paris  ,8.0,,0.3,0.4,,0.06,0.76
3450,Syphon Filter: The Omega Strain,PS2,2004,Sony Computer Entertainment  ,SCEA Bend Studio  ,,,0.37,0.29,,0.1,0.76
3451,FIFA Soccer 11,PS2,2010,EA Sports  ,EA Canada  ,,,0.11,0.29,,0.36,0.76
3452,PokéPark 2: Wonders Beyond,Wii,2012,Nintendo  ,Creatures Inc.  ,6.5,,0.26,0.19,0.27,0.04,0.76
3453,Mortal Kombat: Deception,XB,2004,Midway Games  ,Midway Games  ,7.4,,0.61,0.12,,0.03,0.76
3454,That's So Raven,GBA,2004,Buena Vista  ,Disney Interactive  ,,,0.54,0.2,,0.01,0.76
3455,Marvel vs. Capcom 2,PS2,2002,Capcom  ,Capcom  ,8.2,,0.31,0.24,0.13,0.08,0.76
3456,Assassin's Creed: Revelations,PC,2011,Ubisoft  ,Ubisoft Montreal  ,,,0.16,0.49,,0.11,0.76
3457,Harry Potter and the Half-Blood Prince,Wii,2009,Electronic Arts  ,Bright Light Productions  ,6.0,3.8,0.28,0.4,,0.08,0.76
3458,Lost Planet 2,X360,2010,Capcom  ,Capcom  ,6.5,,0.38,0.24,0.08,0.06,0.76
3459,Legends of Wrestling,PS2,2001,Acclaim Entertainment  ,Acclaim Studios Salt Lake City  ,,,0.37,0.29,,0.1,0.76
3460,True Crime: New York City,PS2,2005,Activision  ,Luxoflux  ,,,0.57,0.02,0.07,0.09,0.76
3461,The Walking Dead: A Telltale Games Series,X360,2012,Telltale Games  ,Telltale Games  ,,,0.55,0.13,,0.07,0.76
3462,Kane & Lynch: Dead Men,X360,2007,Eidos Interactive  ,IO Interactive  ,6.8,,0.36,0.31,0.01,0.08,0.76
3463,Quantum Break,XOne,2016,Microsoft Studios  ,Remedy Entertainment  ,,,0.42,0.25,0.02,0.07,0.76
3464,Final Fantasy Legend III,GB,1993,Square  ,SquareSoft  ,7.0,,,,0.76,,0.76
3465,They Are Billions,PC,N/A,Unknown  ,Numantian Games  ,,,,,,,
3466,Dark Souls II,X360,2015,Namco Bandai Games  ,From Software  ,,,0.49,0.19,0.01,0.07,0.75
3467,Wall-E,PS2,2008,THQ  ,Asobo Studio  ,7.5,,0.21,0.0,,0.54,0.75
3468,Ratchet & Clank Collection,PS3,2012,Sony Computer Entertainment  ,Idol Minds  ,,,0.47,0.14,0.02,0.12,0.75
3469,Wolfenstein: The New Order,XOne,2014,Bethesda Softworks  ,MachineGames  ,,,0.39,0.3,,0.06,0.75
3470,LEGO City Undercover,PS4,2017,Warner Bros. Interactive Entertainment  ,TT Fusion  ,8.0,,0.17,0.46,0.01,0.12,0.75
3471,Genji: Days of the Blade,PS3,2006,Sony Computer Entertainment  ,Game Republic  ,5.0,,0.18,0.38,0.06,0.14,0.75
3472,Defy Gravity Extended,PC,2011,Unknown  ,Fish Factory Games  ,,,,,,,
3473,Mega Man X5,PS,2001,Capcom  ,Capcom  ,,,0.3,0.21,0.2,0.05,0.75
3474,Drawn to Life: The Next Chapter,Wii,2009,THQ  ,Planet Moon Studios  ,5.8,,0.28,0.39,,0.08,0.75
3475,Pro Evolution Soccer 2018,PS4,2017,Konami Digital Entertainment  ,Konami Digital Entertainment  ,,,0.12,0.36,0.19,0.09,0.75
3476,Fire Emblem Echoes: Shadows of Valentia,3DS,2017,Nintendo  ,Intelligent Systems  ,8.3,,0.34,0.16,0.21,0.05,0.75
3477,We Sing,Wii,2009,Nordic Games  ,Le Cortex  ,,,,0.68,,0.08,0.75
3478,LEGO Worlds,PC,2015,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,,,,,,,
3479,Rockstar Games presents Table Tennis,X360,2006,Rockstar Games  ,Rockstar San Diego  ,8.1,,0.28,0.38,,0.08,0.75
3480,Universe Sandbox,PC,2011,Unknown  ,Dan Dixon  ,,,,,,,
3481,WWE SmackDown vs. Raw 2009,PSP,2008,THQ  ,Yuke's Media Creations  ,7.9,,0.41,0.2,,0.14,0.75
3482,Disney Infinity 2.0: Marvel Super Heroes,PS4,2014,Disney Interactive Studios  ,Avalanche Software  ,8.0,,0.37,0.25,,0.13,0.75
3483,Kane & Lynch: Dead Men,PS3,2007,Eidos Interactive  ,IO Interactive  ,6.8,,0.29,0.32,0.01,0.13,0.75
3484,Deer Drive,Wii,2009,Mastiff  ,SCS Software  ,,,0.66,0.04,,0.05,0.75
3485,Pro Evolution Soccer 2017,PS4,2016,Konami Digital Entertainment  ,PES Productions  ,,,0.08,0.41,0.18,0.09,0.75
3486,Shark Tale,PS2,2004,Activision  ,Edge of Reality  ,,,0.37,0.29,,0.1,0.75
